"Sex","DateTime","state_manual","BirdID"
"M","15/02/2013 16:28","Rest",201313
"M","15/02/2013 16:43","Rest",201313
"M","15/02/2013 16:58","Rest",201313
"M","15/02/2013 17:13","Rest",201313
"M","15/02/2013 17:28","Rest",201313
"M","15/02/2013 17:43","Rest",201313
"M","15/02/2013 17:58","Rest",201313
"M","15/02/2013 18:13","Rest",201313
"M","15/02/2013 18:28","Rest",201313
"M","15/02/2013 18:43","Rest",201313
"M","15/02/2013 18:58","Rest",201313
"M","15/02/2013 19:13","Rest",201313
"M","15/02/2013 19:28","Rest",201313
"M","15/02/2013 19:43","Rest",201313
"M","15/02/2013 19:58","Search",201313
"M","15/02/2013 20:13","Rest",201313
"M","15/02/2013 20:28","Rest",201313
"M","15/02/2013 20:43","Rest",201313
"M","15/02/2013 20:58","Rest",201313
"M","15/02/2013 21:13","Rest",201313
"M","15/02/2013 21:28","Rest",201313
"M","15/02/2013 21:43","Rest",201313
"M","15/02/2013 21:58","Rest",201313
"M","15/02/2013 22:13","Rest",201313
"M","15/02/2013 22:28","Rest",201313
"M","15/02/2013 22:43","Rest",201313
"M","15/02/2013 22:58","Travel",201313
"M","15/02/2013 23:13","Travel",201313
"M","15/02/2013 23:28","Travel",201313
"M","15/02/2013 23:43","Travel",201313
"M","15/02/2013 23:58","Travel",201313
"M","16/02/2013 00:13","Travel",201313
"M","16/02/2013 00:28","Travel",201313
"M","16/02/2013 00:43","Search",201313
"M","16/02/2013 00:58","Search",201313
"M","16/02/2013 01:13","Search",201313
"M","16/02/2013 01:28","Search",201313
"M","16/02/2013 01:43","Search",201313
"M","16/02/2013 01:58","Search",201313
"M","16/02/2013 02:13","Search",201313
"M","16/02/2013 02:28","Search",201313
"M","16/02/2013 02:43","Search",201313
"M","16/02/2013 02:58","Search",201313
"M","16/02/2013 03:13","Search",201313
"M","16/02/2013 03:28","Search",201313
"M","16/02/2013 03:43","Search",201313
"M","16/02/2013 03:58","Search",201313
"M","16/02/2013 04:13","Search",201313
"M","16/02/2013 04:28","Search",201313
"M","16/02/2013 04:43","Search",201313
"M","16/02/2013 04:58","Search",201313
"M","16/02/2013 05:13","Search",201313
"M","16/02/2013 05:28","Search",201313
"M","16/02/2013 05:43","Search",201313
"M","16/02/2013 05:58","Search",201313
"M","16/02/2013 06:13","Search",201313
"M","16/02/2013 06:28","Search",201313
"M","16/02/2013 06:43","Search",201313
"M","16/02/2013 06:58","Search",201313
"M","16/02/2013 07:13","Search",201313
"M","16/02/2013 07:28","Search",201313
"M","16/02/2013 07:43","Search",201313
"M","16/02/2013 07:58","Search",201313
"M","16/02/2013 08:13","Rest",201313
"M","16/02/2013 08:28","Rest",201313
"M","16/02/2013 08:43","Search",201313
"M","16/02/2013 08:58","Search",201313
"M","16/02/2013 09:13","Search",201313
"M","16/02/2013 09:28","Search",201313
"M","16/02/2013 09:43","Search",201313
"M","16/02/2013 09:58","Search",201313
"M","16/02/2013 10:13","Search",201313
"M","16/02/2013 10:28","Rest",201313
"M","16/02/2013 10:43","Rest",201313
"M","16/02/2013 10:58","Rest",201313
"M","16/02/2013 11:13","Search",201313
"M","16/02/2013 11:28","Search",201313
"M","16/02/2013 11:43","Search",201313
"M","16/02/2013 11:58","Search",201313
"M","16/02/2013 12:13","Search",201313
"M","16/02/2013 12:28","Search",201313
"M","16/02/2013 12:43","Search",201313
"M","16/02/2013 12:58","Search",201313
"M","16/02/2013 13:13","Search",201313
"M","16/02/2013 13:28","Search",201313
"M","16/02/2013 13:43","Search",201313
"M","16/02/2013 13:58","Travel",201313
"M","16/02/2013 14:13","Travel",201313
"M","16/02/2013 14:28","Travel",201313
"M","16/02/2013 14:43","Travel",201313
"M","16/02/2013 14:58","Travel",201313
"M","16/02/2013 15:13","Travel",201313
"M","16/02/2013 15:28","Travel",201313
"M","16/02/2013 15:43","Travel",201313
"M","16/02/2013 15:58","Travel",201313
"M","16/02/2013 16:13","Travel",201313
"M","16/02/2013 16:28","Travel",201313
"M","16/02/2013 16:43","Travel",201313
"M","16/02/2013 16:58","Travel",201313
"M","16/02/2013 17:13","Travel",201313
"M","16/02/2013 17:28","Travel",201313
"M","16/02/2013 17:43","Travel",201313
"M","16/02/2013 17:58","Travel",201313
"M","16/02/2013 18:13","Travel",201313
"M","16/02/2013 18:28","Travel",201313
"M","16/02/2013 18:43","Travel",201313
"M","16/02/2013 18:58","Travel",201313
"M","16/02/2013 19:13","Travel",201313
"M","16/02/2013 19:28","Travel",201313
"M","16/02/2013 19:43","Travel",201313
"M","16/02/2013 19:58","Travel",201313
"M","16/02/2013 20:13","Travel",201313
"M","16/02/2013 20:28","Travel",201313
"M","16/02/2013 20:43","Travel",201313
"M","16/02/2013 20:58","Rest",201313
"M","16/02/2013 21:13","Rest",201313
"M","16/02/2013 21:28","Rest",201313
"M","16/02/2013 21:43","Rest",201313
"M","16/02/2013 21:58","Travel",201313
"M","16/02/2013 22:13","Travel",201313
"M","16/02/2013 22:28","Travel",201313
"M","16/02/2013 22:43","Travel",201313
"M","16/02/2013 22:58","Travel",201313
"M","16/02/2013 23:13","Travel",201313
"M","16/02/2013 23:28","Travel",201313
"M","16/02/2013 23:43","Travel",201313
"M","16/02/2013 23:58","Travel",201313
"M","17/02/2013 00:13","Travel",201313
"M","17/02/2013 00:28","Travel",201313
"M","17/02/2013 00:43","Travel",201313
"M","17/02/2013 00:58","Travel",201313
"M","17/02/2013 01:13","Travel",201313
"M","17/02/2013 01:28","Travel",201313
"M","17/02/2013 01:43","Travel",201313
"M","17/02/2013 01:58","Travel",201313
"M","17/02/2013 02:13","Travel",201313
"M","17/02/2013 02:28","Travel",201313
"M","17/02/2013 02:43","Travel",201313
"M","17/02/2013 02:58","Travel",201313
"M","17/02/2013 03:13","Travel",201313
"M","17/02/2013 03:28","Travel",201313
"M","17/02/2013 03:43","Travel",201313
"M","17/02/2013 03:58","Travel",201313
"M","17/02/2013 04:13","Travel",201313
"M","17/02/2013 04:28","Travel",201313
"M","17/02/2013 04:43","Travel",201313
"M","17/02/2013 04:58","Travel",201313
"M","17/02/2013 05:13","Travel",201313
"M","17/02/2013 05:28","Travel",201313
"M","17/02/2013 05:43","Travel",201313
"M","17/02/2013 05:58","Travel",201313
"M","17/02/2013 06:13","Travel",201313
"M","17/02/2013 06:28","Travel",201313
"M","17/02/2013 06:43","Travel",201313
"M","17/02/2013 06:58","Travel",201313
"M","17/02/2013 07:13","Travel",201313
"M","17/02/2013 07:28","Travel",201313
"M","17/02/2013 07:43","Travel",201313
"M","17/02/2013 07:58","Travel",201313
"M","17/02/2013 08:13","Travel",201313
"M","17/02/2013 08:28","Travel",201313
"M","17/02/2013 08:43","Travel",201313
"M","17/02/2013 08:58","Travel",201313
"M","17/02/2013 09:13","Travel",201313
"M","17/02/2013 09:28","Travel",201313
"M","17/02/2013 09:43","Travel",201313
"M","17/02/2013 09:58","Travel",201313
"M","17/02/2013 10:13","Travel",201313
"M","17/02/2013 10:28","Travel",201313
"M","17/02/2013 10:43","Travel",201313
"M","17/02/2013 10:58","Travel",201313
"M","17/02/2013 11:13","Travel",201313
"M","17/02/2013 11:28","Travel",201313
"M","17/02/2013 11:43","Travel",201313
"M","17/02/2013 11:58","Travel",201313
"M","17/02/2013 12:13","Travel",201313
"M","17/02/2013 12:28","Travel",201313
"M","17/02/2013 12:43","Travel",201313
"M","17/02/2013 12:58","Travel",201313
"M","17/02/2013 13:13","Travel",201313
"M","17/02/2013 13:28","Travel",201313
"M","17/02/2013 13:43","Travel",201313
"M","17/02/2013 13:58","Travel",201313
"M","17/02/2013 14:13","Travel",201313
"M","17/02/2013 14:28","Travel",201313
"M","17/02/2013 14:43","Travel",201313
"M","17/02/2013 14:58","Travel",201313
"M","17/02/2013 15:13","Travel",201313
"M","17/02/2013 15:28","Travel",201313
"M","17/02/2013 15:43","Travel",201313
"M","17/02/2013 15:58","Travel",201313
"M","17/02/2013 16:13","Travel",201313
"M","17/02/2013 16:28","Travel",201313
"M","17/02/2013 16:43","Travel",201313
"M","17/02/2013 16:58","Travel",201313
"M","17/02/2013 17:13","Travel",201313
"M","17/02/2013 17:28","Travel",201313
"M","17/02/2013 17:43","Travel",201313
"M","17/02/2013 17:58","Travel",201313
"M","17/02/2013 18:13","Travel",201313
"M","17/02/2013 18:28","Travel",201313
"M","17/02/2013 18:43","Travel",201313
"M","17/02/2013 18:58","Travel",201313
"M","17/02/2013 19:13","Rest",201313
"M","17/02/2013 19:28","Rest",201313
"M","17/02/2013 19:43","Rest",201313
"M","17/02/2013 19:58","Rest",201313
"M","17/02/2013 20:13","Travel",201313
"M","17/02/2013 20:28","Travel",201313
"M","17/02/2013 20:43","Travel",201313
"M","17/02/2013 20:58","Travel",201313
"M","17/02/2013 21:13","Travel",201313
"M","17/02/2013 21:28","Travel",201313
"M","17/02/2013 21:43","Travel",201313
"M","17/02/2013 21:58","Travel",201313
"M","17/02/2013 22:13","Travel",201313
"M","17/02/2013 22:28","Travel",201313
"M","17/02/2013 22:43","Travel",201313
"M","17/02/2013 22:58","Travel",201313
"M","17/02/2013 23:13","Travel",201313
"M","17/02/2013 23:28","Travel",201313
"M","17/02/2013 23:43","Travel",201313
"M","17/02/2013 23:58","Travel",201313
"M","18/02/2013 00:13","Travel",201313
"M","18/02/2013 00:28","Travel",201313
"M","18/02/2013 00:43","Travel",201313
"M","18/02/2013 00:58","Travel",201313
"M","18/02/2013 01:13","Travel",201313
"M","18/02/2013 01:28","Travel",201313
"M","18/02/2013 01:43","Travel",201313
"M","18/02/2013 01:58","Search",201313
"M","18/02/2013 02:13","Search",201313
"M","18/02/2013 02:28","Search",201313
"M","18/02/2013 02:43","Search",201313
"M","18/02/2013 02:58","Travel",201313
"M","18/02/2013 03:13","Travel",201313
"M","18/02/2013 03:28","Travel",201313
"M","18/02/2013 03:43","Travel",201313
"M","18/02/2013 03:58","Travel",201313
"M","18/02/2013 04:13","Travel",201313
"M","18/02/2013 04:28","Travel",201313
"M","18/02/2013 04:43","Travel",201313
"M","18/02/2013 04:58","Travel",201313
"M","18/02/2013 05:13","Travel",201313
"M","18/02/2013 05:28","Travel",201313
"M","18/02/2013 05:43","Travel",201313
"M","18/02/2013 05:58","Travel",201313
"M","18/02/2013 06:13","Search",201313
"M","18/02/2013 06:28","Search",201313
"M","18/02/2013 06:43","Travel",201313
"M","18/02/2013 06:58","Travel",201313
"M","18/02/2013 07:13","Travel",201313
"M","18/02/2013 07:28","Travel",201313
"M","18/02/2013 07:43","Travel",201313
"M","18/02/2013 07:58","Travel",201313
"M","18/02/2013 08:13","Travel",201313
"M","18/02/2013 08:28","Travel",201313
"M","18/02/2013 08:43","Travel",201313
"M","18/02/2013 08:58","Travel",201313
"M","18/02/2013 09:13","Travel",201313
"M","18/02/2013 09:28","Travel",201313
"M","18/02/2013 09:43","Travel",201313
"M","18/02/2013 09:58","Travel",201313
"M","18/02/2013 10:13","Travel",201313
"M","18/02/2013 10:28","Travel",201313
"M","18/02/2013 10:43","Travel",201313
"M","18/02/2013 10:58","Travel",201313
"M","18/02/2013 11:13","Travel",201313
"M","18/02/2013 11:28","Travel",201313
"M","18/02/2013 11:43","Travel",201313
"M","18/02/2013 11:58","Travel",201313
"M","18/02/2013 12:13","Travel",201313
"M","18/02/2013 12:28","Travel",201313
"M","18/02/2013 12:43","Travel",201313
"M","18/02/2013 12:58","Travel",201313
"M","18/02/2013 13:13","Travel",201313
"M","18/02/2013 13:28","Travel",201313
"M","18/02/2013 13:43","Travel",201313
"M","18/02/2013 13:58","Travel",201313
"M","18/02/2013 14:13","Travel",201313
"M","18/02/2013 14:28","Travel",201313
"M","18/02/2013 14:43","Travel",201313
"M","18/02/2013 14:58","Search",201313
"M","18/02/2013 15:13","Search",201313
"M","18/02/2013 15:28","Search",201313
"M","18/02/2013 15:43","Travel",201313
"M","18/02/2013 15:58","Travel",201313
"M","18/02/2013 16:13","Travel",201313
"M","18/02/2013 16:28","Travel",201313
"M","18/02/2013 16:43","Travel",201313
"M","18/02/2013 16:58","Travel",201313
"M","18/02/2013 17:13","Travel",201313
"M","18/02/2013 17:28","Travel",201313
"M","18/02/2013 17:43","Travel",201313
"M","18/02/2013 17:58","Travel",201313
"M","18/02/2013 18:13","Travel",201313
"M","18/02/2013 18:28","Travel",201313
"M","18/02/2013 18:43","Travel",201313
"M","18/02/2013 18:58","Travel",201313
"M","18/02/2013 19:13","Travel",201313
"M","18/02/2013 19:28","Rest",201313
"M","18/02/2013 19:43","Rest",201313
"M","18/02/2013 19:58","Rest",201313
"M","18/02/2013 20:13","Rest",201313
"M","18/02/2013 20:28","Rest",201313
"M","18/02/2013 20:43","Rest",201313
"M","18/02/2013 20:58","Rest",201313
"M","18/02/2013 21:13","Rest",201313
"M","18/02/2013 21:28","Rest",201313
"M","18/02/2013 21:43","Rest",201313
"M","18/02/2013 21:58","Rest",201313
"M","18/02/2013 22:13","Rest",201313
"M","18/02/2013 22:28","Rest",201313
"M","18/02/2013 22:43","Rest",201313
"M","18/02/2013 22:58","Travel",201313
"M","18/02/2013 23:13","Travel",201313
"M","18/02/2013 23:28","Travel",201313
"M","18/02/2013 23:43","Travel",201313
"M","18/02/2013 23:58","Travel",201313
"M","19/02/2013 00:13","Travel",201313
"M","19/02/2013 00:28","Travel",201313
"M","19/02/2013 00:43","Travel",201313
"M","19/02/2013 00:58","Travel",201313
"M","19/02/2013 01:13","Travel",201313
"M","19/02/2013 01:28","Travel",201313
"M","19/02/2013 01:43","Travel",201313
"M","19/02/2013 01:58","Travel",201313
"M","19/02/2013 02:13","Travel",201313
"M","19/02/2013 02:28","Travel",201313
"M","19/02/2013 02:43","Travel",201313
"M","19/02/2013 02:58","Travel",201313
"M","19/02/2013 03:13","Travel",201313
"M","19/02/2013 03:28","Travel",201313
"M","19/02/2013 03:43","Travel",201313
"M","19/02/2013 03:58","Travel",201313
"M","19/02/2013 04:13","Travel",201313
"M","19/02/2013 04:28","Travel",201313
"M","19/02/2013 04:43","Travel",201313
"M","19/02/2013 04:58","Travel",201313
"M","19/02/2013 05:13","Travel",201313
"M","19/02/2013 05:28","Travel",201313
"M","19/02/2013 05:43","Travel",201313
"M","19/02/2013 05:58","Search",201313
"M","19/02/2013 06:13","Search",201313
"M","19/02/2013 06:28","Search",201313
"M","19/02/2013 06:43","Travel",201313
"M","19/02/2013 06:58","Travel",201313
"M","19/02/2013 07:13","Travel",201313
"M","19/02/2013 07:28","Search",201313
"M","19/02/2013 07:43","Search",201313
"M","19/02/2013 07:58","Search",201313
"M","19/02/2013 08:13","Travel",201313
"M","19/02/2013 08:28","Travel",201313
"M","19/02/2013 08:43","Travel",201313
"M","19/02/2013 08:58","Travel",201313
"M","19/02/2013 09:13","Travel",201313
"M","19/02/2013 09:28","Travel",201313
"M","19/02/2013 09:43","Travel",201313
"M","19/02/2013 09:58","Travel",201313
"M","19/02/2013 10:13","Rest",201313
"M","19/02/2013 10:28","Rest",201313
"M","19/02/2013 10:43","Rest",201313
"M","19/02/2013 10:58","Rest",201313
"M","19/02/2013 11:13","Travel",201313
"M","19/02/2013 11:28","Travel",201313
"M","19/02/2013 11:43","Search",201313
"M","19/02/2013 11:58","Search",201313
"M","19/02/2013 12:13","Travel",201313
"M","19/02/2013 12:28","Travel",201313
"M","19/02/2013 12:43","Travel",201313
"M","19/02/2013 12:58","Travel",201313
"M","19/02/2013 13:13","Travel",201313
"M","19/02/2013 13:28","Travel",201313
"M","19/02/2013 13:43","Travel",201313
"M","19/02/2013 13:58","Travel",201313
"M","19/02/2013 14:13","Travel",201313
"M","19/02/2013 14:28","Travel",201313
"M","19/02/2013 14:43","Travel",201313
"M","19/02/2013 14:58","Travel",201313
"M","19/02/2013 15:13","Travel",201313
"M","19/02/2013 15:28","Travel",201313
"M","19/02/2013 15:43","Travel",201313
"M","19/02/2013 15:58","Search",201313
"M","19/02/2013 16:13","Search",201313
"M","19/02/2013 16:28","Travel",201313
"M","19/02/2013 16:43","Travel",201313
"M","19/02/2013 16:58","Travel",201313
"M","19/02/2013 17:13","Search",201313
"M","19/02/2013 17:28","Travel",201313
"M","19/02/2013 17:43","Travel",201313
"M","19/02/2013 17:58","Travel",201313
"M","19/02/2013 18:13","Travel",201313
"M","19/02/2013 18:28","Travel",201313
"M","19/02/2013 18:43","Travel",201313
"M","19/02/2013 18:58","Rest",201313
"M","19/02/2013 19:13","Rest",201313
"M","19/02/2013 19:28","Rest",201313
"M","19/02/2013 19:43","Rest",201313
"M","19/02/2013 19:58","Rest",201313
"M","19/02/2013 20:13","Rest",201313
"M","19/02/2013 20:28","Rest",201313
"M","19/02/2013 20:43","Rest",201313
"M","19/02/2013 20:58","Rest",201313
"M","19/02/2013 21:13","Rest",201313
"M","19/02/2013 21:28","Rest",201313
"M","19/02/2013 21:43","Rest",201313
"M","19/02/2013 21:58","Rest",201313
"M","19/02/2013 22:13","Rest",201313
"M","19/02/2013 22:28","Rest",201313
"M","19/02/2013 22:43","Rest",201313
"M","19/02/2013 22:58","Rest",201313
"M","19/02/2013 23:13","Rest",201313
"M","19/02/2013 23:28","Rest",201313
"M","19/02/2013 23:43","Rest",201313
"M","19/02/2013 23:58","Rest",201313
"M","20/02/2013 00:13","Rest",201313
"M","20/02/2013 00:28","Rest",201313
"M","20/02/2013 00:43","Travel",201313
"M","20/02/2013 00:58","Travel",201313
"M","20/02/2013 01:13","Travel",201313
"M","20/02/2013 01:28","Travel",201313
"M","20/02/2013 01:43","Travel",201313
"M","20/02/2013 01:58","Travel",201313
"M","20/02/2013 02:13","Travel",201313
"M","20/02/2013 02:28","Travel",201313
"M","20/02/2013 02:43","Travel",201313
"M","20/02/2013 02:58","Travel",201313
"M","20/02/2013 03:13","Travel",201313
"M","20/02/2013 03:28","Travel",201313
"M","20/02/2013 03:43","Search",201313
"M","20/02/2013 03:58","Travel",201313
"M","20/02/2013 04:13","Travel",201313
"M","20/02/2013 04:28","Travel",201313
"M","20/02/2013 04:43","Search",201313
"M","20/02/2013 04:58","Search",201313
"M","20/02/2013 05:13","Search",201313
"M","20/02/2013 05:28","Search",201313
"M","20/02/2013 05:43","Search",201313
"M","20/02/2013 05:58","Search",201313
"M","20/02/2013 06:13","Search",201313
"M","20/02/2013 06:28","Travel",201313
"M","20/02/2013 06:43","Travel",201313
"M","20/02/2013 06:58","Travel",201313
"M","20/02/2013 07:13","Travel",201313
"M","20/02/2013 07:28","Travel",201313
"M","20/02/2013 07:43","Travel",201313
"M","20/02/2013 07:58","Travel",201313
"M","20/02/2013 08:13","Travel",201313
"M","20/02/2013 08:28","Travel",201313
"M","20/02/2013 08:43","Travel",201313
"M","20/02/2013 08:58","Travel",201313
"M","20/02/2013 09:13","Travel",201313
"M","20/02/2013 09:28","Travel",201313
"M","20/02/2013 09:43","Travel",201313
"M","20/02/2013 09:58","Travel",201313
"M","20/02/2013 10:13","Travel",201313
"M","20/02/2013 10:28","Travel",201313
"M","20/02/2013 10:43","Travel",201313
"M","20/02/2013 10:58","Travel",201313
"M","20/02/2013 11:13","Travel",201313
"M","20/02/2013 11:28","Travel",201313
"M","20/02/2013 11:43","Travel",201313
"M","20/02/2013 11:58","Travel",201313
"M","20/02/2013 12:13","Travel",201313
"M","20/02/2013 12:28","Travel",201313
"M","20/02/2013 12:43","Travel",201313
"M","20/02/2013 12:58","Travel",201313
"M","20/02/2013 13:13","Travel",201313
"M","20/02/2013 13:28","Travel",201313
"M","20/02/2013 13:43","Travel",201313
"M","20/02/2013 13:58","Travel",201313
"M","20/02/2013 14:13","Travel",201313
"M","20/02/2013 14:28","Travel",201313
"M","20/02/2013 14:43","Travel",201313
"M","20/02/2013 14:58","Travel",201313
"M","20/02/2013 15:13","Travel",201313
"M","20/02/2013 15:28","Travel",201313
"M","20/02/2013 15:43","Travel",201313
"M","20/02/2013 15:58","Travel",201313
"M","20/02/2013 16:13","Travel",201313
"M","20/02/2013 16:28","Travel",201313
"M","20/02/2013 16:43","Travel",201313
"M","20/02/2013 16:58","Travel",201313
"M","20/02/2013 17:13","Travel",201313
"M","20/02/2013 17:28","Travel",201313
"M","20/02/2013 17:43","Travel",201313
"M","20/02/2013 17:58","Travel",201313
"M","20/02/2013 18:13","Travel",201313
"M","20/02/2013 18:28","Travel",201313
"M","20/02/2013 18:43","Travel",201313
"M","20/02/2013 18:58","Travel",201313
"M","20/02/2013 19:13","Travel",201313
"M","20/02/2013 19:28","Travel",201313
"M","20/02/2013 19:43","Travel",201313
"M","20/02/2013 19:58","Travel",201313
"M","20/02/2013 20:13","Travel",201313
"M","20/02/2013 20:28","Travel",201313
"M","20/02/2013 20:43","Travel",201313
"M","20/02/2013 20:58","Travel",201313
"M","20/02/2013 21:13","Travel",201313
"M","20/02/2013 21:28","Travel",201313
"M","20/02/2013 21:43","Travel",201313
"M","20/02/2013 21:58","Rest",201313
"M","20/02/2013 22:13","Rest",201313
"M","20/02/2013 22:28","Rest",201313
"M","20/02/2013 22:43","Rest",201313
"M","20/02/2013 22:58","Travel",201313
"M","20/02/2013 23:13","Travel",201313
"M","20/02/2013 23:28","Travel",201313
"M","20/02/2013 23:43","Travel",201313
"M","20/02/2013 23:58","Travel",201313
"M","21/02/2013 00:13","Rest",201313
"M","21/02/2013 00:28","Travel",201313
"M","21/02/2013 00:43","Travel",201313
"M","21/02/2013 00:58","Travel",201313
"M","21/02/2013 01:13","Travel",201313
"M","21/02/2013 01:28","Travel",201313
"M","21/02/2013 01:43","Travel",201313
"M","21/02/2013 01:58","Travel",201313
"M","21/02/2013 02:13","Travel",201313
"M","21/02/2013 02:28","Travel",201313
"M","21/02/2013 02:43","Travel",201313
"M","21/02/2013 02:58","Travel",201313
"M","21/02/2013 03:13","Travel",201313
"M","21/02/2013 03:28","Travel",201313
"M","21/02/2013 03:43","Travel",201313
"M","21/02/2013 03:58","Travel",201313
"M","21/02/2013 04:13","Travel",201313
"M","21/02/2013 04:28","Travel",201313
"M","21/02/2013 04:43","Travel",201313
"M","21/02/2013 04:58","Travel",201313
"M","21/02/2013 05:13","Travel",201313
"M","21/02/2013 05:28","Travel",201313
"M","21/02/2013 05:43","Travel",201313
"M","21/02/2013 05:58","Travel",201313
"M","21/02/2013 06:13","Search",201313
"M","21/02/2013 06:28","Search",201313
"M","21/02/2013 06:43","Search",201313
"M","21/02/2013 06:58","Search",201313
"M","21/02/2013 07:13","Travel",201313
"M","21/02/2013 07:28","Travel",201313
"M","21/02/2013 07:43","Travel",201313
"M","21/02/2013 07:58","Travel",201313
"M","21/02/2013 08:13","Search",201313
"M","21/02/2013 08:28","Search",201313
"M","21/02/2013 08:43","Search",201313
"M","21/02/2013 08:58","Search",201313
"M","21/02/2013 09:13","Travel",201313
"M","21/02/2013 09:28","Travel",201313
"M","21/02/2013 09:43","Travel",201313
"M","21/02/2013 09:58","Travel",201313
"M","21/02/2013 10:13","Travel",201313
"M","21/02/2013 10:28","Travel",201313
"M","21/02/2013 10:43","Search",201313
"M","21/02/2013 10:58","Search",201313
"M","21/02/2013 11:13","Travel",201313
"M","21/02/2013 11:28","Travel",201313
"M","21/02/2013 11:43","Travel",201313
"M","21/02/2013 11:58","Search",201313
"M","21/02/2013 12:13","Search",201313
"M","21/02/2013 12:28","Search",201313
"M","21/02/2013 12:43","Search",201313
"M","21/02/2013 12:58","Search",201313
"M","21/02/2013 13:13","Search",201313
"M","21/02/2013 13:28","Search",201313
"M","21/02/2013 13:43","Search",201313
"M","21/02/2013 13:58","Travel",201313
"M","21/02/2013 14:13","Travel",201313
"M","21/02/2013 14:28","Travel",201313
"M","21/02/2013 14:43","Search",201313
"M","21/02/2013 14:58","Search",201313
"M","21/02/2013 15:13","Search",201313
"M","21/02/2013 15:28","Search",201313
"M","21/02/2013 15:43","Search",201313
"M","21/02/2013 15:58","Search",201313
"M","21/02/2013 16:13","Travel",201313
"M","21/02/2013 16:28","Travel",201313
"M","21/02/2013 16:43","Travel",201313
"M","21/02/2013 16:58","Travel",201313
"M","21/02/2013 17:13","Travel",201313
"M","21/02/2013 17:28","Travel",201313
"M","21/02/2013 17:43","Rest",201313
"M","21/02/2013 17:58","Rest",201313
"M","21/02/2013 18:13","Travel",201313
"M","21/02/2013 18:28","Travel",201313
"M","21/02/2013 18:43","Travel",201313
"M","21/02/2013 18:58","Travel",201313
"M","21/02/2013 19:13","Travel",201313
"M","21/02/2013 19:28","Rest",201313
"M","21/02/2013 19:43","Rest",201313
"M","21/02/2013 19:58","Travel",201313
"M","21/02/2013 20:13","Travel",201313
"M","21/02/2013 20:28","Travel",201313
"M","21/02/2013 20:43","Travel",201313
"M","21/02/2013 20:58","Travel",201313
"M","21/02/2013 21:13","Travel",201313
"M","21/02/2013 21:28","Travel",201313
"M","21/02/2013 21:43","Travel",201313
"M","21/02/2013 21:58","Travel",201313
"M","21/02/2013 22:13","Rest",201313
"M","21/02/2013 22:28","Rest",201313
"M","21/02/2013 22:43","Rest",201313
"M","21/02/2013 22:58","Rest",201313
"M","21/02/2013 23:13","Rest",201313
"M","21/02/2013 23:28","Rest",201313
"M","21/02/2013 23:43","Rest",201313
"M","21/02/2013 23:58","Rest",201313
"M","22/02/2013 00:13","Travel",201313
"M","22/02/2013 00:28","Travel",201313
"M","22/02/2013 00:43","Travel",201313
"M","22/02/2013 00:58","Travel",201313
"M","22/02/2013 01:13","Travel",201313
"M","22/02/2013 01:28","Travel",201313
"M","22/02/2013 01:43","Travel",201313
"M","22/02/2013 01:58","Travel",201313
"M","22/02/2013 02:13","Travel",201313
"M","22/02/2013 02:28","Travel",201313
"M","22/02/2013 02:43","Travel",201313
"M","22/02/2013 02:58","Travel",201313
"M","22/02/2013 03:13","Search",201313
"M","22/02/2013 03:28","Search",201313
"M","22/02/2013 03:43","Travel",201313
"M","22/02/2013 03:58","Travel",201313
"M","22/02/2013 04:13","Travel",201313
"M","22/02/2013 04:28","Travel",201313
"M","22/02/2013 04:43","Travel",201313
"M","22/02/2013 04:58","Travel",201313
"M","22/02/2013 05:13","Travel",201313
"M","22/02/2013 05:28","Search",201313
"M","22/02/2013 05:43","Search",201313
"M","22/02/2013 05:58","Search",201313
"M","22/02/2013 06:13","Travel",201313
"M","22/02/2013 06:28","Travel",201313
"M","22/02/2013 06:43","Travel",201313
"M","22/02/2013 06:58","Travel",201313
"M","22/02/2013 07:13","Travel",201313
"M","22/02/2013 07:28","Travel",201313
"M","22/02/2013 07:43","Travel",201313
"M","22/02/2013 07:58","Travel",201313
"M","22/02/2013 08:13","Travel",201313
"M","22/02/2013 08:28","Travel",201313
"M","22/02/2013 08:43","Travel",201313
"M","22/02/2013 08:58","Travel",201313
"M","22/02/2013 09:13","Travel",201313
"M","22/02/2013 09:28","Travel",201313
"M","22/02/2013 09:43","Travel",201313
"M","22/02/2013 09:58","Travel",201313
"M","22/02/2013 10:13","Travel",201313
"M","22/02/2013 10:28","Travel",201313
"M","22/02/2013 10:43","Travel",201313
"M","22/02/2013 10:58","Travel",201313
"M","22/02/2013 11:13","Travel",201313
"M","22/02/2013 11:28","Search",201313
"M","22/02/2013 11:43","Search",201313
"M","22/02/2013 11:58","Search",201313
"M","22/02/2013 12:13","Search",201313
"M","22/02/2013 12:28","Travel",201313
"M","22/02/2013 12:43","Travel",201313
"M","22/02/2013 12:58","Travel",201313
"M","22/02/2013 13:13","Travel",201313
"M","22/02/2013 13:28","Travel",201313
"M","22/02/2013 13:43","Travel",201313
"M","22/02/2013 13:58","Travel",201313
"M","22/02/2013 14:13","Travel",201313
"M","22/02/2013 14:28","Travel",201313
"M","22/02/2013 14:43","Travel",201313
"M","22/02/2013 14:58","Travel",201313
"M","22/02/2013 15:13","Travel",201313
"M","22/02/2013 15:28","Travel",201313
"M","22/02/2013 15:43","Travel",201313
